company_uuid,person_uuid,role,title
ea28a49a-c477-3f20-7b27-645ee074597a,8bf2ef88-3003-3cc0-0b14-f9506692ac58,c_suite,CTO
0c8b7b7a-c99c-1df2-e7d8-982c41794dc6,d9f7b580-3492-a95b-b2fa-8248e85f9d81,c_suite,Founder and CEO
ab13ec7b-2936-c9b3-43ad-cf28974c2859,5abb3e4f-1d48-3f69-7ed3-ec8d83831239,board_member,Chairman
3a3f85b8-1ada-7a6e-7808-20223ff2c30a,89715b94-0c14-464d-9d4e-7f64b61d57df,founder,Co-founder
3a3f85b8-1ada-7a6e-7808-20223ff2c30a,d294b540-02ee-b67e-9415-69afdd4807a6,board_member,Co-Founder and Board Member
3a3f85b8-1ada-7a6e-7808-20223ff2c30a,170ee8dc-e802-9fdb-d92f-4c9bc6ea7822,c_suite,CTO
f10be231-ce9d-ad81-2bec-e7384dfe8a78,93566bab-33bc-984e-63aa-4a9825bca0b0,founder,Co-Founder
c2929672-d2b1-0360-6ff2-738c1ed8e66e,f4bf61ed-89a4-9e50-5ae1-2a985dee4ba8,c_suite,Founder & CEO
c2929672-d2b1-0360-6ff2-738c1ed8e66e,4aea477d-0a5b-4872-b716-068df16e2bdf,c_suite,Chief Technology Officer
93522a54-041c-0284-c931-8085d5aaa8df,18201971-c2ba-f02f-489d-680bacaf5b8c,c_suite,"CEO, Director, and Advisor"
93522a54-041c-0284-c931-8085d5aaa8df,21a2e77d-d3c9-3dc3-e18f-82c3b1538886,other,Chief Scientist
02a5c7a6-2689-d1df-0f56-af7627a07256,32f5b64d-d490-dc2f-25e1-5166ce969ec6,c_suite,Founder & CEO
02a5c7a6-2689-d1df-0f56-af7627a07256,bed64fb0-7cad-f6b7-31b8-6b702ccee562,c_suite,K12 Sector
02a5c7a6-2689-d1df-0f56-af7627a07256,798554bb-3b84-7b32-50e7-5607dbef6947,founder,Co-Founder
a0872c11-0e6f-16bc-324a-a08880efb5db,4b194586-7aa9-a3eb-5576-ce920d47ceed,c_suite,Founder & CEO
caf83343-5f30-2b08-6173-9c6a44eb4a33,36071c50-2b5c-0330-dcef-b817f80b8086,c_suite,Chief Strategy Officer
caf83343-5f30-2b08-6173-9c6a44eb4a33,e065da69-6e3f-4326-84f7-e795af5b234e,other,Strategic Account Executive
caf83343-5f30-2b08-6173-9c6a44eb4a33,c6cb68f9-f33c-7dc5-94fe-947fe1df3650,board_member,Founder & Chairman of Board
caf83343-5f30-2b08-6173-9c6a44eb4a33,62c125b1-08db-454e-89d8-ce6d29423c67,vp,SVP of Sales
d981801e-eced-9e7f-bd48-34af029e74ef,e47a05d0-47bd-95b7-d0f2-b9f9925b16d4,c_suite,Co-founder and CTO
d981801e-eced-9e7f-bd48-34af029e74ef,95d5adf7-62c0-472a-b28f-638f287ecdcf,c_suite,Co-Founder and CEO
d981801e-eced-9e7f-bd48-34af029e74ef,0f3dd508-080b-49cc-8248-e8fbf7e7684c,vp,VP Life Insurance
166d97f8-f0dd-b775-1a3c-50e5a70e8c1c,67e1e0bf-af0f-8add-f91c-a9c59c197a24,c_suite,CEO & Founder
166d97f8-f0dd-b775-1a3c-50e5a70e8c1c,78d27608-d4ef-42fa-ab7c-e2561ef5509c,vp,VP of Engineering
166d97f8-f0dd-b775-1a3c-50e5a70e8c1c,5ba45012-94de-92eb-a36d-46b09d311c09,vp,Head of Strategic Client Engagement and Business Development
166d97f8-f0dd-b775-1a3c-50e5a70e8c1c,85168fd4-923c-ccfd-45cf-b4774ded6c05,advisor,Advisor
5c0a8043-4bbe-fee0-d80c-364ef3fa1a79,7a759411-1650-83fb-fa16-679ed5a750df,c_suite,Chief Architect
5c0a8043-4bbe-fee0-d80c-364ef3fa1a79,e641b09c-317c-438f-b00b-24aa9844574d,vp,VP People
5c0a8043-4bbe-fee0-d80c-364ef3fa1a79,80aef331-e09c-48d3-8cba-f93152a0ccdf,c_suite,Chief Executive Officer and Board Member
5c0a8043-4bbe-fee0-d80c-364ef3fa1a79,b3103a07-c180-be99-4ce9-4acd66beb54a,board_member,Board Member
7b7a025a-c7f3-aeff-bea5-fc3441bd4a53,5b9664cc-6e89-80e0-8385-3e079e85de84,c_suite,Founder & CEO
