investor_uuid,permalink,name,entity_def_id,investor_type,investment_count,website
686a8cbc-6eb0-742e-dc66-67ba49eb3dcb,vijay-karunamurthy,Vijay Karunamurthy,person,angel_investor,,
30981bb0-706f-4389-8492-874e4aeb18f4,james-dyett-18f4,James Dyett,person,angel_investor,,
abc7e992-4849-49e4-9941-ea60dd96d30b,alate-partners,Alate Partners,organization,venture_capital,,https://www.alatepartners.com/
4b8d477d-0cc7-49c3-a478-4f9a001ba426,re-angels,RE Angels,organization,"accelerator,angel_group",,https://www.reangels.vc/
864eb0a7-06f7-4a88-b4f8-f727e9e63c17,daybreak-ventures,Daybreak ventures,organization,venture_capital,,https://www.daybreakventures.com/
cc22e2c8-8347-dbe6-ff81-90345f5ef150,dragon-global,Dragon Global,organization,venture_capital,,http://www.dragonglobal.com
59547a1d-15ed-4eb9-a2b0-f5f9acc4e2fa,koch-real-estate-investments,Koch Real Estate Investments,organization,venture_capital,,https://www.kochind.com/companies/koch-investments-group
ac835562-7458-e662-5a62-deb321994a5d,eric-futoran,Eric Futoran,person,angel_investor,,
53cc5c97-f4d9-4eb8-b85c-6d78932766ac,andrew-milich,Andrew Milich,person,angel_investor,,
a00e153a-389b-41ea-ac35-f6172319a052,chia-jeng-yang,Chia Jeng Yang,person,angel_investor,,
3e6db708-341e-4d43-be95-4a17976615d4,don-stalter,Don Stalter,person,angel_investor,,
3843215a-d217-414d-94c9-53d9f65782dd,grzegorz-kossakowski,Grzegorz Kossakowski,person,angel_investor,,
68c46b8b-beaf-43c2-a979-49021b79f735,jedrzej-szczesniak,Jedrzej Szczesniak,person,angel_investor,,
0c853adf-5d4c-4cdc-9b9e-21558e879e0e,jeff-henriod,Jeff Henriod,person,angel_investor,,
31a9afcb-a2e4-511c-ef27-a7fb49a372d9,john-cassidy,John Cassidy,person,angel_investor,,
deaa278d-65d8-47e6-8d1a-fc69d53ff7e9,kacper-szczęśniak,Kacper Szcześniak,person,angel_investor,,
fdc15fe6-bb6c-afe4-9bd2-2d6ec6a5ab55,matt-brown-7,Matt Brown,person,angel_investor,,
08fc58c1-a034-4939-9b9f-003fcc2d1697,michele-grazioli,Michele Grazioli,person,angel_investor,,
